nohup: ignoring input
[07:50:02] Fetched 100 candles.
[07:51:02] Fetched 100 candles.
[07:52:03] Fetched 100 candles.
[07:53:03] Fetched 100 candles.
[07:54:03] Fetched 100 candles.
[07:55:04] Fetched 100 candles.
[07:56:04] Fetched 100 candles.
[07:57:04] Fetched 100 candles.
[07:58:05] Fetched 100 candles.
[07:59:05] Fetched 100 candles.
[08:00:05] Fetched 100 candles.
[08:01:06] Fetched 100 candles.
[08:02:06] Fetched 100 candles.
[08:03:06] Fetched 100 candles.
[08:04:07] Fetched 100 candles.
[08:05:07] Fetched 100 candles.
[08:06:08] Fetched 100 candles.
[08:07:08] Fetched 100 candles.
[08:08:08] Fetched 100 candles.
[08:09:09] Fetched 100 candles.
[08:10:09] Fetched 100 candles.
[08:11:09] Fetched 100 candles.
[08:12:10] Fetched 100 candles.
[08:13:10] Fetched 100 candles.
[08:14:10] Fetched 100 candles.
[08:15:11] Fetched 100 candles.
[08:16:11] Fetched 100 candles.
[08:17:12] Fetched 100 candles.
[08:18:12] Fetched 100 candles.
[08:19:12] Fetched 100 candles.
[08:20:13] Fetched 100 candles.
[08:21:13] Fetched 100 candles.
[08:22:13] Fetched 100 candles.
[08:23:14] Fetched 100 candles.
[08:24:14] Fetched 100 candles.
[08:25:14] Fetched 100 candles.
[08:26:15] Fetched 100 candles.
[08:27:15] Fetched 100 candles.
[08:28:16] Fetched 100 candles.
[08:29:16] Fetched 100 candles.
[08:30:16] Fetched 100 candles.
[08:31:17] Fetched 100 candles.
[08:32:17] Fetched 100 candles.
[08:33:17] Fetched 100 candles.
[08:34:18] Fetched 100 candles.
[08:35:18] Fetched 100 candles.
[08:36:19] Fetched 100 candles.
[08:37:19] Fetched 100 candles.
[08:38:19] Fetched 100 candles.
[08:39:20] Fetched 100 candles.
[08:40:20] Fetched 100 candles.
[08:41:20] Fetched 100 candles.
[08:42:21] Fetched 100 candles.
[08:43:22] Fetched 100 candles.
[08:44:22] Fetched 100 candles.
[08:45:23] Fetched 100 candles.
[08:46:23] Fetched 100 candles.
[08:47:24] Fetched 100 candles.
[08:48:24] Fetched 100 candles.
[08:49:24] Fetched 100 candles.
[08:50:25] Fetched 100 candles.
[08:51:25] Fetched 100 candles.
[08:52:26] Fetched 100 candles.
[08:53:26] Fetched 100 candles.
[08:54:26] Fetched 100 candles.
[08:55:27] Fetched 100 candles.
[08:56:27] Fetched 100 candles.
[08:57:27] Fetched 100 candles.
[08:58:28] Fetched 100 candles.
[08:59:28] Fetched 100 candles.
[09:00:29] Fetched 100 candles.
[09:01:29] Fetched 100 candles.
[09:02:29] Fetched 100 candles.
[09:03:30] Fetched 100 candles.
[09:04:30] Fetched 100 candles.
[09:05:30] Fetched 100 candles.
[09:06:31] Fetched 100 candles.
[09:07:31] Fetched 100 candles.
[09:08:31] Fetched 100 candles.
[09:09:32] Fetched 100 candles.
[09:10:32] Fetched 100 candles.
[09:11:32] Fetched 100 candles.
[09:12:33] Fetched 100 candles.
[09:13:34] Fetched 100 candles.
[09:14:34] Fetched 100 candles.
[09:15:34] Fetched 100 candles.
[09:16:35] Fetched 100 candles.
[09:17:35] Fetched 100 candles.
[09:18:35] Fetched 100 candles.
[09:19:36] Fetched 100 candles.
[09:20:36] Fetched 100 candles.
[09:21:36] Fetched 100 candles.
[09:22:37] Fetched 100 candles.
[09:23:37] Fetched 100 candles.
[09:24:37] Fetched 100 candles.
[09:25:38] Fetched 100 candles.
[09:26:38] Fetched 100 candles.
[09:27:39] Fetched 100 candles.
[09:28:39] Fetched 100 candles.
[09:29:39] Fetched 100 candles.
